"PartitionID","TID","Items","SOT"
"","683","[27, 45]",""
"","686","[27, 28]",""
"","697","[20, 29]",""
"","702","[21, 35]",""
"","707","[16, 40]",""
"","708","[37, 43]",""
"","718","[4, 9]",""
"","719","[1, 19]",""
"","721","[10, 33]",""
"","722","[14, 44]",""
"","724","[23, 36]",""
"","729","[33, 39]",""
"","730","[27, 28]",""
"","733","[0, 46]",""
"","739","[5, 22]",""
"","745","[7, 15]",""
"","748","[1, 19]",""
"","749","[17, 21]",""
"","765","[2, 20]",""
"","767","[34, 45]",""
"","773","[27, 28]",""
"","782","[17, 47]",""
"","789","[18, 35]",""
"","800","[6, 31]",""
"","802","[33, 42]",""
"","809","[14, 19]",""
"","815","[4, 9]",""
"","818","[1, 19]",""
"","819","[22, 26]",""
"","823","[27, 28]",""
"","824","[33, 42]",""
"","825","[5, 22]",""
"","834","[4, 9]",""
"","839","[15, 42]",""
"","850","[1, 19]",""
"","852","[4, 9]",""
"","858","[14, 15]",""
"","859","[23, 46]",""
"","860","[5, 22]",""
"","870","[13, 25]",""
"","889","[14, 31]",""
"","898","[25, 36]",""
"","908","[37, 44]",""
"","909","[11, 30]",""
"","916","[33, 42]",""
"","928","[4, 9]",""
"","930","[5, 22]",""
"","953","[7, 38]",""
"","956","[9, 16]",""
"","959","[27, 28]",""
"","967","[34, 49]",""
"","971","[25, 41]",""
"","974","[21, 36]",""
"","976","[38, 40]",""
"","978","[27, 28]",""
"","987","[4, 9]",""
"p3","6","[14, 21, 44]","3"
"","8","[15, 27, 28]",""
"","10","[3, 18, 35]",""
"","12","[20, 43, 48]",""
"","14","[1, 19, 26]",""
"","15","[5, 22, 39]",""
"","16","[16, 32, 45]",""
"","18","[1, 19, 23]",""
"","22","[34, 39, 44]",""
"","24","[4, 9, 38]",""
"","25","[7, 22, 48]",""
"","26","[7, 11, 14]",""
"","29","[0, 2, 42]",""
"","36","[12, 31, 36]",""
"","41","[4, 10, 14]",""
"","43","[23, 27, 28]",""
"","44","[15, 21, 40]",""
"","46","[11, 22, 44]",""
"","48","[0, 2, 46]",""
"","51","[7, 17, 28]",""
"","54","[0, 2, 46]",""
"","55","[15, 30, 45]",""
"","58","[4, 9, 19]",""
"","60","[17, 21, 40]",""
"","63","[13, 27, 28]",""
"","65","[12, 14, 44]",""
"","69","[3, 18, 35]",""
"","70","[5, 12, 16]",""
"","72","[7, 29, 30]",""
"","73","[17, 19, 30]",""
"","74","[1, 13, 36]",""
"","75","[19, 33, 49]",""
"","80","[13, 35, 42]",""
"","81","[5, 22, 32]",""
"","96","[1, 29, 30]",""
"","99","[14, 22, 37]",""
"","100","[22, 34, 40]",""
"","102","[16, 17, 43]",""
"","105","[3, 40, 45]",""
"","110","[7, 15, 49]",""
"","113","[23, 33, 35]",""
"","120","[14, 18, 44]",""
"","121","[0, 2, 46]",""
"","122","[3, 18, 35]",""
"","125","[2, 24, 27]",""
"","126","[5, 13, 22]",""
"","134","[17, 29, 47]",""
"","135","[12, 31, 36]",""
"","136","[4, 9, 11]",""
"","138","[20, 33, 42]",""
"","139","[22, 44, 46]",""
"","142","[0, 6, 25]",""
"","143","[5, 19, 22]",""
"","152","[33, 37, 42]",""
"","155","[4, 9, 15]",""
"","157","[5, 22, 37]",""
"","166","[14, 41, 44]",""
"","167","[19, 28, 42]",""
"","170","[5, 22, 28]",""
"","171","[0, 16, 32]",""
"","172","[5, 28, 43]",""
"","176","[11, 34, 48]",""
"","178","[0, 13, 26]",""
"","179","[16, 32, 45]",""
"","183","[4, 9, 37]",""
"","184","[5, 22, 31]",""
"","185","[21, 24, 29]",""
"","192","[6, 27, 28]",""
"","199","[0, 2, 46]",""
"","200","[0, 10, 30]",""
"","201","[15, 33, 42]",""
"","202","[4, 9, 40]",""
"","209","[9, 27, 28]",""
"","210","[7, 11, 37]",""
"","216","[16, 32, 45]",""
"","218","[2, 11, 23]",""
"","219","[11, 15, 35]",""
"","224","[23, 40, 47]",""
"","227","[7, 15, 49]",""
"","230","[7, 29, 48]",""
"","235","[23, 32, 48]",""
"","244","[17, 28, 47]",""
"","245","[3, 18, 35]",""
"","248","[5, 12, 22]",""
"","251","[3, 18, 35]",""
"","254","[0, 1, 19]",""
"","257","[19, 31, 41]",""
"","262","[5, 22, 31]",""
"","264","[0, 2, 46]",""
"","270","[20, 25, 27]",""
"","271","[15, 30, 39]",""
"","272","[7, 15, 49]",""
"","286","[1, 8, 19]",""
"","287","[0, 33, 42]",""
"","289","[12, 31, 36]",""
"","291","[16, 27, 28]",""
"","292","[7, 15, 49]",""
"","295","[23, 33, 42]",""
"","297","[0, 2, 46]",""
"","300","[16, 32, 45]",""
"","303","[0, 2, 46]",""
"","304","[16, 17, 34]",""
"","307","[8, 22, 42]",""
"","308","[3, 27, 36]",""
"","309","[16, 32, 45]",""
"","316","[18, 35, 45]",""
"","317","[0, 2, 46]",""
"","321","[7, 15, 49]",""
"","324","[0, 2, 46]",""
"","325","[1, 2, 19]",""
"","328","[4, 9, 24]",""
"","332","[0, 2, 46]",""
"","339","[0, 28, 47]",""
"","340","[7, 15, 49]",""
"","345","[0, 2, 46]",""
"","351","[5, 22, 35]",""
"","352","[26, 29, 45]",""
"","353","[4, 9, 31]",""
"","355","[17, 32, 47]",""
"","356","[1, 31, 41]",""
"","357","[14, 43, 44]",""
"","359","[5, 10, 16]",""
"","361","[4, 30, 31]",""
"","362","[9, 14, 25]",""
"","364","[23, 27, 28]",""
"","365","[9, 18, 22]",""
"","366","[5, 8, 22]",""
"","370","[9, 26, 28]",""
"","372","[3, 48, 49]",""
"","375","[1, 19, 28]",""
"","378","[15, 18, 41]",""
"","379","[14, 28, 48]",""
"","380","[5, 22, 47]",""
"","382","[7, 15, 49]",""
"","383","[8, 28, 47]",""
"","384","[8, 25, 29]",""
"","391","[3, 18, 35]",""
"","396","[23, 33, 46]",""
"","397","[7, 15, 49]",""
"","398","[16, 32, 45]",""
"","399","[7, 15, 49]",""
"","402","[36, 39, 49]",""
"","403","[3, 4, 10]",""
"","410","[27, 33, 42]",""
"","415","[7, 15, 49]",""
"","417","[17, 29, 47]",""
"","419","[5, 33, 42]",""
"","420","[27, 28, 31]",""
"","421","[7, 15, 49]",""
"","422","[16, 32, 45]",""
"","426","[0, 17, 24]",""
"","430","[4, 19, 47]",""
"","438","[4, 24, 32]",""
"","442","[0, 2, 46]",""
"","444","[16, 32, 45]",""
"","446","[4, 33, 47]",""
"","447","[19, 27, 36]",""
"","448","[1, 28, 40]",""
"","451","[4, 28, 47]",""
"","453","[3, 18, 35]",""
"","454","[9, 27, 28]",""
"","456","[14, 27, 28]",""
"","457","[12, 16, 34]",""
"","459","[14, 32, 44]",""
"","460","[16, 32, 45]",""
"","461","[2, 8, 16]",""
"","462","[7, 15, 49]",""
"","464","[1, 23, 32]",""
"","470","[17, 29, 47]",""
"","472","[4, 9, 13]",""
"","479","[3, 18, 35]",""
"","480","[3, 21, 44]",""
"","492","[14, 15, 31]",""
"","494","[13, 30, 38]",""
"","497","[17, 27, 28]",""
"","498","[17, 29, 47]",""
"","500","[0, 2, 46]",""
"","502","[14, 27, 44]",""
"","503","[12, 31, 36]",""
"","512","[10, 20, 37]",""
"","514","[21, 31, 32]",""
"","516","[0, 2, 46]",""
"","517","[34, 37, 47]",""
"","519","[3, 18, 35]",""
"","522","[13, 15, 24]",""
"","523","[8, 22, 23]",""
"","529","[6, 9, 30]",""
"","538","[3, 18, 35]",""
"","540","[33, 35, 42]",""
"","541","[16, 32, 45]",""
"","549","[11, 37, 38]",""
"","551","[3, 5, 22]",""
"","553","[4, 7, 9]",""
"","554","[0, 12, 35]",""
"","555","[28, 29, 37]",""
"","561","[2, 14, 42]",""
"","563","[17, 29, 47]",""
"","566","[3, 18, 35]",""
"","568","[4, 9, 34]",""
"","572","[6, 14, 22]",""
"","573","[0, 10, 41]",""
"","575","[5, 7, 22]",""
"","577","[7, 15, 49]",""
"","580","[13, 30, 42]",""
"","581","[24, 25, 31]",""
"","585","[23, 33, 42]",""
"","590","[7, 11, 37]",""
"","595","[1, 32, 48]",""
"","601","[1, 6, 19]",""
"","602","[7, 15, 49]",""
"","603","[20, 22, 27]",""
"","605","[15, 16, 26]",""
"","606","[3, 18, 35]",""
"","616","[0, 2, 46]",""
"","620","[39, 43, 44]",""
"","621","[3, 14, 30]",""
"","623","[1, 19, 32]",""
"","632","[0, 2, 46]",""
"","636","[3, 18, 35]",""
"","640","[5, 22, 33]",""
"","641","[14, 33, 42]",""
"","644","[0, 2, 46]",""
"","645","[16, 32, 45]",""
"","647","[14, 30, 44]",""
"","650","[30, 36, 44]",""
"","653","[0, 37, 46]",""
"","654","[18, 25, 44]",""
"","661","[7, 15, 49]",""
"","664","[0, 2, 46]",""
"","670","[5, 22, 48]",""
"","672","[1, 7, 25]",""
"","678","[26, 30, 48]",""
"","679","[7, 15, 49]",""
"","685","[8, 9, 22]",""
"","688","[16, 32, 45]",""
"","689","[10, 22, 39]",""
"","691","[5, 22, 43]",""
"","701","[16, 32, 45]",""
"","703","[0, 2, 46]",""
"","704","[10, 18, 44]",""
"","711","[5, 22, 24]",""
"","714","[10, 40, 44]",""
"","715","[3, 18, 35]",""
"","717","[37, 47, 48]",""
"","720","[4, 12, 31]",""
"","723","[5, 15, 34]",""
"","726","[3, 11, 29]",""
"","728","[21, 24, 27]",""
"","731","[6, 10, 44]",""
"","734","[16, 32, 45]",""
"","737","[5, 19, 30]",""
"","740","[3, 18, 35]",""
"","741","[17, 29, 47]",""
"","743","[3, 18, 35]",""
"","746","[28, 43, 49]",""
"","747","[12, 27, 28]",""
"","751","[16, 32, 45]",""
"","752","[0, 11, 33]",""
"","754","[9, 15, 40]",""
"","755","[12, 30, 49]",""
"","758","[14, 40, 44]",""
"","759","[15, 41, 47]",""
"","760","[27, 28, 29]",""
"","764","[5, 13, 26]",""
"","769","[26, 27, 28]",""
"","771","[20, 27, 29]",""
"","774","[1, 13, 29]",""
"","776","[17, 29, 47]",""
"","777","[22, 30, 39]",""
"","794","[1, 19, 27]",""
"","798","[1, 19, 44]",""
"","799","[17, 29, 47]",""
"","804","[17, 29, 47]",""
"","806","[16, 32, 45]",""
"","810","[7, 15, 49]",""
"","812","[17, 29, 47]",""
"","814","[1, 5, 22]",""
"","820","[33, 37, 42]",""
"","822","[27, 28, 40]",""
"","826","[14, 22, 44]",""
"","827","[16, 32, 45]",""
"","831","[7, 15, 49]",""
"","835","[12, 31, 36]",""
"","837","[4, 9, 18]",""
"","838","[6, 32, 34]",""
"","842","[7, 30, 43]",""
"","843","[15, 25, 49]",""
"","844","[22, 33, 41]",""
"","854","[3, 18, 39]",""
"","855","[4, 13, 32]",""
"","856","[17, 29, 47]",""
"","861","[3, 18, 35]",""
"","873","[5, 7, 20]",""
"","875","[3, 18, 35]",""
"","877","[5, 14, 18]",""
"","882","[16, 32, 45]",""
"","888","[3, 18, 35]",""
"","890","[8, 14, 44]",""
"","892","[1, 3, 30]",""
"","894","[11, 30, 43]",""
"","895","[7, 15, 49]",""
"","896","[0, 2, 46]",""
"","899","[7, 9, 27]",""
"","900","[5, 13, 22]",""
"","902","[26, 39, 43]",""
"","903","[12, 26, 38]",""
"","915","[5, 22, 31]",""
"","917","[4, 9, 15]",""
"","922","[14, 31, 44]",""
"","925","[12, 31, 36]",""
"","926","[1, 36, 46]",""
"","927","[27, 42, 44]",""
"","931","[10, 16, 26]",""
"","932","[13, 36, 42]",""
"","934","[4, 27, 28]",""
"","935","[1, 19, 39]",""
"","936","[1, 16, 32]",""
"","937","[12, 31, 36]",""
"","939","[16, 33, 42]",""
"","945","[3, 18, 35]",""
"","948","[0, 14, 44]",""
"","950","[7, 15, 16]",""
"","951","[4, 29, 46]",""
"","955","[19, 29, 43]",""
"","957","[0, 20, 42]",""
"","962","[4, 16, 34]",""
"","964","[7, 15, 29]",""
"","979","[16, 32, 45]",""
"","980","[8, 18, 28]",""
"","984","[3, 18, 35]",""
"","986","[16, 32, 45]",""
"","988","[22, 31, 39]",""
"","989","[0, 2, 46]",""
"","991","[0, 2, 46]",""
"","993","[3, 6, 13]",""
"","994","[3, 29, 44]",""
"","999","[3, 18, 35]",""
"","1000","[15, 34, 47]",""
"p4","1","[7, 15, 44, 49]","4"
"","19","[7, 11, 37, 45]",""
"","20","[3, 18, 32, 35]",""
"","21","[1, 8, 19, 47]",""
"","32","[8, 21, 25, 38]",""
"","35","[4, 17, 29, 47]",""
"","45","[10, 19, 25, 32]",""
"","68","[12, 31, 36, 48]",""
"","76","[1, 5, 14, 38]",""
"","83","[23, 24, 40, 41]",""
"","85","[12, 31, 36, 48]",""
"","87","[12, 31, 36, 48]",""
"","90","[0, 2, 45, 46]",""
"","93","[1, 3, 18, 35]",""
"","94","[7, 11, 37, 45]",""
"","103","[8, 19, 20, 48]",""
"","107","[3, 18, 22, 27]",""
"","109","[5, 22, 27, 35]",""
"","112","[11, 13, 14, 44]",""
"","117","[1, 11, 19, 33]",""
"","118","[23, 24, 40, 41]",""
"","123","[12, 31, 36, 48]",""
"","127","[22, 42, 46, 47]",""
"","130","[1, 24, 40, 42]",""
"","131","[14, 20, 26, 44]",""
"","132","[12, 31, 36, 48]",""
"","148","[0, 1, 2, 46]",""
"","149","[4, 9, 18, 41]",""
"","153","[0, 2, 37, 46]",""
"","154","[11, 18, 35, 45]",""
"","159","[3, 4, 5, 48]",""
"","161","[3, 18, 31, 35]",""
"","162","[6, 17, 25, 49]",""
"","173","[24, 36, 37, 42]",""
"","177","[14, 28, 40, 43]",""
"","180","[10, 14, 44, 46]",""
"","186","[0, 6, 22, 46]",""
"","195","[5, 14, 16, 22]",""
"","197","[27, 28, 44, 47]",""
"","204","[23, 24, 40, 41]",""
"","205","[25, 27, 28, 32]",""
"","206","[7, 11, 37, 45]",""
"","208","[7, 11, 37, 45]",""
"","212","[7, 27, 39, 45]",""
"","214","[23, 24, 40, 41]",""
"","217","[18, 26, 42, 45]",""
"","226","[1, 5, 19, 30]",""
"","228","[7, 11, 37, 45]",""
"","229","[23, 31, 34, 45]",""
"","233","[4, 5, 9, 39]",""
"","238","[4, 9, 15, 25]",""
"","247","[7, 11, 37, 45]",""
"","249","[6, 14, 38, 48]",""
"","255","[3, 18, 24, 35]",""
"","256","[12, 31, 36, 48]",""
"","260","[9, 14, 21, 46]",""
"","266","[3, 14, 23, 44]",""
"","267","[18, 22, 42, 49]",""
"","269","[12, 31, 36, 48]",""
"","273","[12, 31, 36, 48]",""
"","274","[16, 18, 32, 42]",""
"","275","[27, 31, 33, 42]",""
"","276","[5, 9, 22, 43]",""
"","278","[19, 28, 30, 32]",""
"","279","[2, 31, 39, 44]",""
"","284","[9, 13, 17, 46]",""
"","288","[2, 33, 36, 47]",""
"","296","[14, 21, 23, 24]",""
"","310","[12, 31, 36, 48]",""
"","312","[7, 11, 37, 45]",""
"","318","[5, 10, 14, 47]",""
"","326","[7, 11, 37, 45]",""
"","331","[12, 31, 36, 48]",""
"","335","[5, 14, 22, 29]",""
"","337","[14, 24, 34, 44]",""
"","341","[5, 9, 28, 41]",""
"","342","[1, 7, 11, 37]",""
"","346","[5, 10, 26, 30]",""
"","348","[3, 4, 27, 42]",""
"","349","[9, 11, 40, 45]",""
"","371","[7, 9, 15, 49]",""
"","377","[1, 13, 19, 41]",""
"","385","[0, 4, 10, 21]",""
"","387","[5, 23, 26, 44]",""
"","407","[32, 34, 36, 42]",""
"","413","[4, 9, 13, 21]",""
"","434","[0, 5, 33, 46]",""
"","436","[2, 4, 11, 39]",""
"","441","[2, 4, 9, 40]",""
"","443","[11, 19, 33, 42]",""
"","450","[4, 9, 31, 33]",""
"","452","[25, 27, 34, 49]",""
"","455","[14, 15, 35, 36]",""
"","466","[16, 20, 32, 49]",""
"","467","[23, 24, 40, 41]",""
"","469","[5, 16, 25, 48]",""
"","471","[11, 16, 32, 45]",""
"","475","[12, 33, 42, 46]",""
"","476","[23, 24, 40, 41]",""
"","478","[14, 15, 26, 47]",""
"","490","[4, 17, 40, 47]",""
"","496","[12, 31, 36, 48]",""
"","501","[0, 21, 33, 39]",""
"","505","[7, 11, 37, 45]",""
"","508","[0, 14, 16, 32]",""
"","518","[16, 28, 32, 45]",""
"","521","[14, 28, 29, 44]",""
"","526","[7, 11, 37, 45]",""
"","536","[15, 34, 46, 48]",""
"","539","[12, 31, 36, 48]",""
"","542","[7, 9, 15, 43]",""
"","543","[7, 11, 37, 45]",""
"","544","[12, 31, 36, 48]",""
"","548","[10, 14, 18, 47]",""
"","552","[9, 24, 27, 34]",""
"","558","[4, 11, 41, 43]",""
"","562","[4, 9, 21, 43]",""
"","564","[23, 28, 33, 42]",""
"","569","[13, 14, 43, 44]",""
"","582","[4, 7, 15, 18]",""
"","587","[15, 19, 27, 28]",""
"","591","[7, 11, 37, 45]",""
"","593","[23, 24, 40, 41]",""
"","594","[0, 9, 30, 31]",""
"","596","[2, 27, 28, 43]",""
"","599","[3, 10, 18, 35]",""
"","600","[4, 9, 12, 48]",""
"","610","[12, 36, 37, 39]",""
"","611","[2, 3, 10, 34]",""
"","613","[13, 20, 22, 47]",""
"","614","[4, 12, 26, 45]",""
"","615","[13, 27, 35, 36]",""
"","618","[1, 2, 34, 39]",""
"","619","[7, 11, 37, 45]",""
"","624","[10, 21, 28, 31]",""
"","626","[10, 11, 16, 32]",""
"","627","[12, 31, 36, 48]",""
"","633","[3, 18, 20, 35]",""
"","634","[17, 29, 43, 47]",""
"","638","[12, 31, 36, 48]",""
"","642","[0, 30, 43, 46]",""
"","643","[11, 17, 35, 47]",""
"","646","[20, 37, 39, 42]",""
"","651","[12, 31, 36, 48]",""
"","658","[0, 26, 27, 28]",""
"","660","[2, 22, 33, 42]",""
"","665","[27, 28, 39, 42]",""
"","666","[12, 31, 36, 48]",""
"","668","[16, 32, 45, 49]",""
"","675","[7, 23, 30, 46]",""
"","677","[2, 10, 23, 42]",""
"","680","[12, 25, 39, 48]",""
"","692","[17, 23, 29, 47]",""
"","693","[1, 2, 15, 19]",""
"","694","[7, 11, 37, 45]",""
"","695","[5, 12, 22, 44]",""
"","696","[8, 11, 22, 37]",""
"","699","[7, 11, 37, 45]",""
"","700","[3, 36, 42, 49]",""
"","706","[7, 11, 37, 45]",""
"","709","[7, 15, 29, 49]",""
"","710","[12, 31, 36, 48]",""
"","712","[12, 13, 14, 32]",""
"","713","[4, 5, 9, 32]",""
"","761","[0, 2, 23, 46]",""
"","762","[7, 8, 11, 20]",""
"","763","[6, 15, 22, 32]",""
"","766","[1, 7, 15, 48]",""
"","768","[12, 24, 31, 46]",""
"","770","[23, 24, 40, 41]",""
"","778","[33, 42, 45, 47]",""
"","780","[12, 31, 36, 48]",""
"","783","[12, 31, 36, 48]",""
"","793","[0, 18, 25, 39]",""
"","807","[1, 19, 34, 44]",""
"","811","[5, 13, 22, 30]",""
"","816","[7, 11, 37, 45]",""
"","828","[3, 16, 28, 48]",""
"","829","[22, 23, 24, 39]",""
"","840","[13, 27, 28, 36]",""
"","847","[20, 23, 33, 42]",""
"","851","[3, 16, 32, 45]",""
"","853","[4, 9, 21, 39]",""
"","857","[12, 31, 36, 48]",""
"","862","[12, 22, 47, 48]",""
"","863","[3, 5, 18, 35]",""
"","864","[23, 24, 40, 41]",""
"","867","[33, 34, 42, 44]",""
"","868","[13, 23, 24, 41]",""
"","871","[5, 36, 41, 42]",""
"","879","[14, 20, 22, 24]",""
"","881","[29, 36, 41, 46]",""
"","885","[0, 27, 28, 32]",""
"","893","[6, 12, 41, 44]",""
"","897","[1, 17, 38, 43]",""
"","901","[12, 31, 36, 48]",""
"","904","[1, 16, 20, 40]",""
"","910","[22, 28, 41, 48]",""
"","911","[12, 31, 36, 48]",""
"","912","[4, 5, 7, 21]",""
"","914","[5, 27, 28, 42]",""
"","918","[7, 11, 37, 45]",""
"","921","[1, 8, 14, 19]",""
"","923","[6, 28, 33, 39]",""
"","933","[12, 33, 42, 47]",""
"","938","[16, 32, 41, 45]",""
"","952","[14, 20, 40, 43]",""
"","954","[3, 18, 45, 47]",""
"","963","[9, 17, 44, 45]",""
"","966","[12, 31, 36, 48]",""
"","969","[25, 33, 42, 45]",""
"","970","[16, 27, 32, 45]",""
"","983","[27, 28, 38, 48]",""
"","985","[16, 20, 32, 36]",""
"","995","[9, 27, 28, 45]",""
"","997","[2, 6, 22, 32]",""
"p5","5","[2, 4, 7, 9, 23]","5"
"","11","[23, 24, 40, 41, 43]",""
"","27","[23, 24, 40, 41, 43]",""
"","34","[23, 24, 40, 41, 43]",""
"","37","[14, 22, 26, 37, 44]",""
"","40","[15, 16, 18, 21, 26]",""
"","59","[0, 2, 16, 19, 46]",""
"","61","[2, 4, 6, 9, 39]",""
"","62","[23, 24, 40, 41, 43]",""
"","84","[3, 5, 14, 22, 36]",""
"","89","[5, 19, 22, 34, 43]",""
"","91","[16, 32, 45, 47, 48]",""
"","95","[16, 26, 32, 41, 45]",""
"","114","[5, 8, 18, 29, 46]",""
"","116","[1, 3, 8, 27, 28]",""
"","144","[11, 13, 14, 35, 48]",""
"","145","[17, 29, 35, 44, 47]",""
"","150","[1, 12, 18, 19, 39]",""
"","151","[0, 2, 19, 22, 46]",""
"","156","[19, 24, 28, 35, 49]",""
"","160","[4, 6, 18, 28, 35]",""
"","169","[13, 31, 33, 41, 42]",""
"","181","[4, 7, 9, 19, 36]",""
"","182","[23, 24, 40, 41, 43]",""
"","188","[12, 31, 36, 38, 48]",""
"","190","[23, 24, 40, 41, 43]",""
"","193","[23, 24, 40, 41, 43]",""
"","211","[1, 2, 9, 22, 48]",""
"","220","[31, 39, 43, 45, 46]",""
"","221","[0, 2, 28, 40, 46]",""
"","223","[7, 21, 23, 30, 36]",""
"","240","[1, 3, 16, 19, 35]",""
"","242","[4, 9, 10, 12, 45]",""
"","243","[12, 31, 36, 46, 48]",""
"","250","[9, 10, 34, 36, 42]",""
"","259","[5, 14, 28, 39, 49]",""
"","265","[23, 24, 40, 41, 43]",""
"","282","[4, 9, 14, 36, 44]",""
"","294","[1, 14, 26, 32, 41]",""
"","299","[1, 23, 33, 42, 47]",""
"","302","[19, 25, 30, 43, 46]",""
"","306","[5, 12, 16, 31, 36]",""
"","314","[1, 9, 15, 24, 37]",""
"","327","[29, 33, 38, 45, 48]",""
"","329","[1, 19, 23, 30, 44]",""
"","338","[5, 22, 28, 30, 47]",""
"","369","[4, 8, 12, 25, 34]",""
"","373","[5, 21, 30, 31, 43]",""
"","376","[4, 9, 26, 33, 47]",""
"","392","[7, 11, 34, 37, 45]",""
"","395","[5, 17, 22, 40, 48]",""
"","405","[7, 17, 34, 35, 46]",""
"","416","[4, 5, 14, 23, 42]",""
"","423","[1, 2, 8, 25, 32]",""
"","428","[4, 10, 27, 28, 43]",""
"","437","[4, 5, 9, 23, 24]",""
"","445","[5, 7, 22, 32, 42]",""
"","463","[14, 26, 30, 39, 44]",""
"","465","[0, 12, 20, 22, 49]",""
"","483","[16, 24, 30, 31, 48]",""
"","487","[23, 24, 40, 41, 43]",""
"","493","[5, 26, 33, 42, 44]",""
"","495","[2, 3, 18, 35, 47]",""
"","510","[13, 26, 27, 28, 46]",""
"","511","[4, 9, 12, 17, 37]",""
"","513","[3, 7, 11, 21, 23]",""
"","530","[4, 13, 37, 45, 49]",""
"","532","[14, 27, 28, 37, 48]",""
"","547","[0, 3, 10, 38, 40]",""
"","550","[1, 3, 18, 19, 35]",""
"","556","[9, 11, 28, 33, 41]",""
"","560","[16, 20, 27, 32, 45]",""
"","567","[5, 9, 14, 18, 40]",""
"","588","[0, 11, 18, 23, 47]",""
"","592","[6, 16, 33, 39, 42]",""
"","622","[2, 12, 30, 32, 49]",""
"","625","[9, 17, 27, 28, 45]",""
"","628","[3, 18, 29, 35, 40]",""
