"PartitionID","TID","Items","IdenticalTID"
"","673","[33, 42]",""
"","683","[27, 45]",""
"","686","[27, 28]",""
"","697","[20, 29]",""
"","702","[21, 35]",""
"","707","[16, 40]",""
"","708","[37, 43]",""
"","718","[4, 9]",""
"","719","[1, 19]",""
"","721","[10, 33]",""
"","722","[14, 44]",""
"","724","[23, 36]",""
"","729","[33, 39]",""
"","730","[27, 28]",""
"","733","[0, 46]",""
"","739","[5, 22]",""
"","745","[7, 15]",""
"","748","[1, 19]",""
"","749","[17, 21]",""
"","765","[2, 20]",""
"","767","[34, 45]",""
"","773","[27, 28]",""
"","782","[17, 47]",""
"","789","[18, 35]",""
"","800","[6, 31]",""
"","802","[33, 42]",""
"","809","[14, 19]",""
"","815","[4, 9]",""
"","818","[1, 19]",""
"","819","[22, 26]",""
"","823","[27, 28]",""
"","824","[33, 42]",""
"","825","[5, 22]",""
"","834","[4, 9]",""
"","839","[15, 42]",""
"","850","[1, 19]",""
"","852","[4, 9]",""
"","858","[14, 15]",""
"","859","[23, 46]",""
"","860","[5, 22]",""
"","870","[13, 25]",""
"","889","[14, 31]",""
"","898","[25, 36]",""
"","908","[37, 44]",""
"","909","[11, 30]",""
"","916","[33, 42]",""
"","928","[4, 9]",""
"","930","[5, 22]",""
"","953","[7, 38]",""
"","956","[9, 16]",""
"","959","[27, 28]",""
"","967","[34, 49]",""
"","971","[25, 41]",""
"","974","[21, 36]",""
"","976","[38, 40]",""
"","978","[27, 28]",""
"","987","[4, 9]",""
"p3","6","[14, 21, 44]","3"
"","8","[15, 27, 28]",""
"","10","[3, 18, 35]","[69, 70, 72, 122, 125, 126, 245, 248, 251, 391, 396, 397, 453, 454, 456, 479, 480, 492, 519, 522, 523, 538, 540, 541, 566, 568, 572, 606, 616, 620, 636, 640, 641, 715, 717, 720, 740, 741, 743, 861, 873, 875, 888, 890, 892, 945, 948, 950, 984, 986, 988, 999, 1000]"
"","12","[20, 43, 48]",""
"","14","[1, 19, 26]",""
"","15","[5, 22, 39]",""
"","16","[16, 32, 45]","[179, 183, 184, 216, 218, 219, 300, 303, 304, 309, 316, 317, 398, 399, 402, 422, 426, 430, 444, 446, 447, 460, 461, 462, 645, 647, 650, 688, 689, 691, 734, 737, 746, 751, 752, 754, 806, 810, 812, 827, 831, 835, 882, 894, 895, 979, 980, 989]"
"","18","[1, 19, 23]",""
"","22","[34, 39, 44]",""
"","24","[4, 9, 38]",""
"","25","[7, 22, 48]",""
"","26","[7, 11, 14]",""
"","29","[0, 2, 42]",""
"","36","[12, 31, 36]","[135, 136, 138, 289, 291, 292, 503, 512, 514, 925, 926, 927, 937, 939, 951]"
"","41","[4, 10, 14]",""
"","43","[23, 27, 28]","[364, 365, 366]"
"","44","[15, 21, 40]",""
"","46","[11, 22, 44]",""
"","48","[0, 2, 46]","[54, 55, 58, 121, 134, 139, 199, 200, 201, 264, 270, 271, 297, 307, 308, 324, 325, 328, 345, 351, 352, 442, 448, 451, 500, 502, 516, 632, 644, 653, 664, 670, 672, 703, 704, 711, 896, 899, 900, 991, 993, 994]"
"","51","[7, 17, 28]",""
"","60","[17, 21, 40]",""
"","63","[13, 27, 28]",""
"","65","[12, 14, 44]",""
"","73","[17, 19, 30]",""
"","74","[1, 13, 36]",""
"","75","[19, 33, 49]",""
"","80","[13, 35, 42]",""
"","81","[5, 22, 32]",""
"","96","[1, 29, 30]",""
"","99","[14, 22, 37]",""
"","100","[22, 34, 40]",""
"","102","[16, 17, 43]",""
"","105","[3, 40, 45]",""
"","110","[7, 15, 49]","[227, 230, 235, 272, 286, 287, 321, 332, 339, 382, 383, 384, 415, 417, 419, 421, 438, 457, 577, 580, 581, 602, 603, 605, 661, 678, 679]"
"","113","[23, 33, 35]",""
"","120","[14, 18, 44]",""
"","142","[0, 6, 25]",""
"","143","[5, 19, 22]",""
"","152","[33, 37, 42]","[820, 822, 826]"
"","155","[4, 9, 15]","[917, 922, 931]"
"","157","[5, 22, 37]",""
"","166","[14, 41, 44]",""
"","167","[19, 28, 42]",""
"","170","[5, 22, 28]",""
"","171","[0, 16, 32]",""
"","172","[5, 28, 43]",""
"","176","[11, 34, 48]",""
"","178","[0, 13, 26]",""
"","185","[21, 24, 29]",""
"","192","[6, 27, 28]",""
"","202","[4, 9, 40]",""
"","209","[9, 27, 28]",""
"","210","[7, 11, 37]","[590, 595, 601]"
"","224","[23, 40, 47]",""
"","244","[17, 28, 47]",""
"","254","[0, 1, 19]",""
"","257","[19, 31, 41]",""
"","262","[5, 22, 31]","[915, 932, 934]"
"","295","[23, 33, 42]","[585, 621, 623]"
"","340","[7, 15, 49]",""
"","353","[4, 9, 31]",""
"","355","[17, 32, 47]",""
"","356","[1, 31, 41]",""
"","357","[14, 43, 44]",""
"","359","[5, 10, 16]",""
"","361","[4, 30, 31]",""
"","362","[9, 14, 25]",""
"","370","[9, 26, 28]",""
"","372","[3, 48, 49]",""
"","375","[1, 19, 28]",""
"","378","[15, 18, 41]",""
"","379","[14, 28, 48]",""
"","380","[5, 22, 47]",""
"","403","[3, 4, 10]",""
"","410","[27, 33, 42]",""
"","420","[27, 28, 31]",""
"","459","[14, 32, 44]",""
"","464","[1, 23, 32]",""
"","470","[17, 29, 47]","[498, 517, 529, 563, 573, 575, 776, 777, 794, 799, 804, 814, 856, 877, 902]"
"","472","[4, 9, 13]",""
"","494","[13, 30, 38]",""
"","497","[17, 27, 28]",""
"","549","[11, 37, 38]",""
"","551","[3, 5, 22]",""
"","553","[4, 7, 9]",""
"","554","[0, 12, 35]",""
"","555","[28, 29, 37]",""
"","561","[2, 14, 42]",""
"","654","[18, 25, 44]",""
"","685","[8, 9, 22]",""
"","701","[16, 32, 45]",""
"","714","[10, 40, 44]",""
"","723","[5, 15, 34]",""
"","726","[3, 11, 29]",""
"","728","[21, 24, 27]",""
"","731","[6, 10, 44]",""
"","747","[12, 27, 28]",""
"","755","[12, 30, 49]",""
"","758","[14, 40, 44]",""
"","759","[15, 41, 47]",""
"","760","[27, 28, 29]",""
"","764","[5, 13, 26]",""
"","769","[26, 27, 28]",""
"","771","[20, 27, 29]",""
"","774","[1, 13, 29]",""
"","798","[1, 19, 44]",""
"","837","[4, 9, 18]",""
"","838","[6, 32, 34]",""
"","842","[7, 30, 43]",""
"","843","[15, 25, 49]",""
"","844","[22, 33, 41]",""
"","854","[3, 18, 39]",""
"","855","[4, 13, 32]",""
"","903","[12, 26, 38]",""
"","935","[1, 19, 39]",""
"","936","[1, 16, 32]",""
"","955","[19, 29, 43]",""
"","957","[0, 20, 42]",""
"","962","[4, 16, 34]",""
"","964","[7, 15, 29]",""
"p4","1","[7, 15, 44, 49]","4"
"","19","[7, 11, 37, 45]","[94, 103, 107, 109, 206, 208, 212, 214, 228, 229, 233, 238, 312, 318, 326, 331, 505, 508, 518, 521, 543, 544, 548, 552, 591, 593, 594, 596, 619, 624, 626, 627, 694, 695, 696, 699, 706, 709, 710, 712, 816, 828, 829, 840, 918, 921, 923, 933]"
"","20","[3, 18, 32, 35]",""
"","21","[1, 8, 19, 47]",""
"","32","[8, 21, 25, 38]",""
"","35","[4, 17, 29, 47]",""
"","45","[10, 19, 25, 32]",""
"","68","[12, 31, 36, 48]","[85, 87, 90, 93, 123, 127, 130, 131, 256, 260, 266, 267, 273, 274, 275, 276, 310, 335, 337, 341, 496, 501, 526, 536, 638, 642, 643, 646, 666, 668, 675, 677, 780, 783, 793, 807, 857, 862, 863, 864, 901, 904, 910, 911, 966, 969, 970, 983]"
"","76","[1, 5, 14, 38]",""
"","83","[23, 24, 40, 41]","[118, 132, 148, 149, 204, 205, 217, 226, 467, 469, 471, 475, 770, 778, 811, 847]"
"","112","[11, 13, 14, 44]",""
"","117","[1, 11, 19, 33]",""
"","153","[0, 2, 37, 46]",""
"","154","[11, 18, 35, 45]",""
"","159","[3, 4, 5, 48]",""
"","161","[3, 18, 31, 35]",""
"","162","[6, 17, 25, 49]",""
"","173","[24, 36, 37, 42]",""
"","177","[14, 28, 40, 43]",""
"","180","[10, 14, 44, 46]",""
"","186","[0, 6, 22, 46]",""
"","195","[5, 14, 16, 22]",""
"","197","[27, 28, 44, 47]",""
"","247","[7, 11, 37, 45]",""
"","249","[6, 14, 38, 48]",""
"","255","[3, 18, 24, 35]",""
"","269","[12, 31, 36, 48]","[539, 542, 558, 562, 651, 658, 660, 665]"
"","278","[19, 28, 30, 32]",""
"","279","[2, 31, 39, 44]",""
"","284","[9, 13, 17, 46]",""
"","288","[2, 33, 36, 47]",""
"","296","[14, 21, 23, 24]",""
"","342","[1, 7, 11, 37]",""
"","346","[5, 10, 26, 30]",""
"","348","[3, 4, 27, 42]",""
"","349","[9, 11, 40, 45]",""
"","371","[7, 9, 15, 49]",""
"","377","[1, 13, 19, 41]",""
"","385","[0, 4, 10, 21]",""
"","387","[5, 23, 26, 44]",""
"","407","[32, 34, 36, 42]",""
"","413","[4, 9, 13, 21]",""
"","434","[0, 5, 33, 46]",""
"","436","[2, 4, 11, 39]",""
"","441","[2, 4, 9, 40]",""
"","443","[11, 19, 33, 42]",""
"","450","[4, 9, 31, 33]",""
"","452","[25, 27, 34, 49]",""
"","455","[14, 15, 35, 36]",""
"","466","[16, 20, 32, 49]",""
"","476","[23, 24, 40, 41]",""
"","478","[14, 15, 26, 47]",""
"","490","[4, 17, 40, 47]",""
"","564","[23, 28, 33, 42]",""
"","569","[13, 14, 43, 44]",""
"","582","[4, 7, 15, 18]",""
"","587","[15, 19, 27, 28]",""
"","599","[3, 10, 18, 35]",""
"","600","[4, 9, 12, 48]",""
"","610","[12, 36, 37, 39]",""
"","611","[2, 3, 10, 34]",""
"","613","[13, 20, 22, 47]",""
"","614","[4, 12, 26, 45]",""
"","615","[13, 27, 35, 36]",""
"","618","[1, 2, 34, 39]",""
"","633","[3, 18, 20, 35]",""
"","634","[17, 29, 43, 47]",""
"","680","[12, 25, 39, 48]",""
"","692","[17, 23, 29, 47]",""
"","693","[1, 2, 15, 19]",""
"","700","[3, 36, 42, 49]",""
"","713","[4, 5, 9, 32]",""
"","761","[0, 2, 23, 46]",""
"","762","[7, 8, 11, 20]",""
"","763","[6, 15, 22, 32]",""
"","766","[1, 7, 15, 48]",""
"","768","[12, 24, 31, 46]",""
"","851","[3, 16, 32, 45]",""
"","853","[4, 9, 21, 39]",""
"","867","[33, 34, 42, 44]",""
"","868","[13, 23, 24, 41]",""
"","871","[5, 36, 41, 42]",""
"","879","[14, 20, 22, 24]",""
"","881","[29, 36, 41, 46]",""
"","885","[0, 27, 28, 32]",""
"","893","[6, 12, 41, 44]",""
"","897","[1, 17, 38, 43]",""
"","912","[4, 5, 7, 21]",""
"","914","[5, 27, 28, 42]",""
"","938","[16, 32, 41, 45]",""
"","952","[14, 20, 40, 43]",""
"","954","[3, 18, 45, 47]",""
"","963","[9, 17, 44, 45]",""
"","985","[16, 20, 32, 36]",""
"","995","[9, 27, 28, 45]",""
"","997","[2, 6, 22, 32]",""
"p5","5","[2, 4, 7, 9, 23]","5"
"","11","[23, 24, 40, 41, 43]","[27, 34, 37, 40, 59, 62, 84, 89, 91, 95, 182, 188, 190, 193, 211, 265, 282, 294, 299, 302, 487, 493, 495, 510, 511, 629, 630, 635, 639, 662, 757, 781, 784, 785, 786, 795, 801, 805, 808, 813, 869, 872, 874, 876, 883, 887, 891, 905, 906, 913, 942, 943, 944, 975, 998]"
"","61","[2, 4, 6, 9, 39]",""
"","114","[5, 8, 18, 29, 46]",""
"","116","[1, 3, 8, 27, 28]",""
"","144","[11, 13, 14, 35, 48]",""
"","145","[17, 29, 35, 44, 47]",""
"","150","[1, 12, 18, 19, 39]",""
"","151","[0, 2, 19, 22, 46]",""
"","156","[19, 24, 28, 35, 49]",""
"","160","[4, 6, 18, 28, 35]",""
"","169","[13, 31, 33, 41, 42]",""
"","181","[4, 7, 9, 19, 36]",""
"","220","[31, 39, 43, 45, 46]",""
"","221","[0, 2, 28, 40, 46]",""
"","223","[7, 21, 23, 30, 36]",""
"","240","[1, 3, 16, 19, 35]",""
"","242","[4, 9, 10, 12, 45]",""
"","243","[12, 31, 36, 46, 48]",""
"","250","[9, 10, 34, 36, 42]",""
"","259","[5, 14, 28, 39, 49]",""
"","306","[5, 12, 16, 31, 36]",""
"","314","[1, 9, 15, 24, 37]",""
"","327","[29, 33, 38, 45, 48]",""
"","329","[1, 19, 23, 30, 44]",""
"","338","[5, 22, 28, 30, 47]",""
"","369","[4, 8, 12, 25, 34]",""
"","373","[5, 21, 30, 31, 43]",""
"","376","[4, 9, 26, 33, 47]",""
"","392","[7, 11, 34, 37, 45]",""
"","395","[5, 17, 22, 40, 48]",""
"","405","[7, 17, 34, 35, 46]",""
"","416","[4, 5, 14, 23, 42]",""
"","423","[1, 2, 8, 25, 32]",""
"","428","[4, 10, 27, 28, 43]",""
"","437","[4, 5, 9, 23, 24]",""
"","445","[5, 7, 22, 32, 42]",""
"","463","[14, 26, 30, 39, 44]",""
"","465","[0, 12, 20, 22, 49]",""
"","483","[16, 24, 30, 31, 48]",""
"","513","[3, 7, 11, 21, 23]",""
"","530","[4, 13, 37, 45, 49]",""
"","532","[14, 27, 28, 37, 48]",""
"","547","[0, 3, 10, 38, 40]",""
"","550","[1, 3, 18, 19, 35]",""
"","556","[9, 11, 28, 33, 41]",""
"","560","[16, 20, 27, 32, 45]",""
"","567","[5, 9, 14, 18, 40]",""
"","588","[0, 11, 18, 23, 47]",""
"","592","[6, 16, 33, 39, 42]",""
"","622","[2, 12, 30, 32, 49]",""
"","625","[9, 17, 27, 28, 45]",""
"","628","[3, 18, 29, 35, 40]",""
"","663","[5, 22, 35, 38, 47]",""
"","671","[23, 33, 39, 42, 45]",""
"","674","[16, 19, 32, 38, 45]",""
"","681","[16, 17, 33, 47, 49]",""
"","684","[1, 11, 21, 42, 43]",""
"","687","[0, 2, 26, 43, 46]",""
"","690","[7, 11, 14, 18, 23]",""
"","716","[1, 13, 20, 31, 45]",""
"","725","[5, 29, 32, 35, 42]",""
"","735","[3, 9, 37, 42, 44]",""
"","736","[19, 21, 23, 27, 30]",""
"","738","[5, 15, 19, 22, 23]",""
"","750","[0, 18, 24, 43, 48]",""
"","787","[2, 18, 27, 28, 33]",""
"","791","[0, 14, 20, 44, 46]",""
"","792","[5, 7, 11, 24, 27]",""
"","830","[15, 26, 28, 33, 36]",""
"","833","[18, 35, 41, 43, 49]",""
"","846","[4, 14, 21, 25, 41]",""
"","848","[9, 13, 22, 42, 45]",""
"","849","[0, 14, 22, 29, 46]",""
"","886","[0, 2, 28, 41, 46]",""
"","919","[23, 24, 40, 41, 43]",""
"","941","[6, 9, 19, 24, 44]",""
"p6","4","[3, 4, 15, 18, 35, 44]","6"
"","7","[4, 12, 31, 36, 44, 48]",""
"","17","[4, 6, 9, 10, 16, 22]",""
"","38","[0, 16, 30, 32, 45, 47]",""
"","78","[1, 5, 8, 14, 22, 26]",""
"","79","[7, 27, 30, 36, 37, 43]",""
"","82","[7, 11, 20, 28, 37, 45]",""
"","106","[13, 18, 21, 41, 47, 48]",""
"","108","[6, 16, 17, 31, 33, 42]",""
"","124","[7, 11, 20, 29, 37, 45]",""
"","137","[3, 11, 14, 18, 29, 35]",""
"","187","[3, 18, 21, 35, 39, 46]",""
"","215","[4, 14, 20, 32, 36, 44]",""
"","222","[13, 24, 26, 35, 39, 47]",""
"","234","[5, 22, 25, 28, 34, 46]",""
"","258","[1, 11, 14, 32, 34, 35]",""
"","277","[2, 4, 36, 40, 41, 48]",""
"","301","[3, 4, 9, 33, 37, 43]",""
"","334","[4, 9, 13, 33, 43, 46]",""
"","336","[2, 8, 10, 19, 35, 45]",""
"","347","[8, 12, 14, 33, 44, 47]",""
"","350","[3, 4, 9, 11, 12, 47]",""
"","354","[0, 13, 27, 28, 31, 36]",""
"","368","[3, 15, 16, 20, 33, 45]",""
"","390","[12, 17, 26, 29, 31, 47]",""
"","409","[3, 18, 29, 35, 37, 48]",""
"","433","[8, 17, 23, 29, 43, 47]",""
"","435","[9, 18, 35, 38, 40, 47]",""
"","477","[9, 13, 14, 33, 38, 49]",""
"","535","[14, 29, 31, 35, 41, 49]",""
"","546","[5, 8, 14, 21, 33, 38]",""
"","649","[1, 17, 25, 37, 41, 49]",""
"","742","[12, 26, 31, 36, 41, 48]",""
"","775","[11, 23, 25, 36, 38, 45]",""
"","803","[1, 3, 19, 29, 31, 44]",""
"","821","[4, 8, 13, 27, 28, 46]",""
"","832","[15, 22, 27, 31, 33, 40]",""
"","841","[7, 15, 22, 37, 43, 49]",""
"","907","[14, 16, 17, 18, 26, 31]",""
"","924","[0, 6, 16, 30, 39, 47]",""
"","946","[4, 12, 14, 19, 32, 48]",""
"","958","[5, 10, 32, 33, 39, 44]",""
"","960","[5, 22, 25, 29, 37, 43]",""
"","996","[2, 10, 22, 31, 33, 46]",""
"p7","39","[1, 11, 19, 25, 27, 29, 46]","7"
"","133","[7, 21, 27, 28, 33, 36, 47]",""
"","140","[5, 6, 16, 22, 33, 38, 49]",""
"","141","[0, 2, 12, 24, 26, 31, 46]",""
"","164","[3, 8, 9, 20, 22, 23, 42]",""
"","165","[4, 15, 17, 21, 26, 36, 48]",""
"","239","[1, 12, 16, 17, 19, 26, 48]",""
"","280","[1, 2, 19, 21, 23, 28, 45]",""
"","281","[7, 10, 14, 16, 23, 32, 45]",""
"","305","[5, 21, 22, 25, 27, 31, 42]",""
"","319","[1, 4, 10, 14, 25, 36, 49]",""
"","393","[9, 13, 18, 23, 25, 33, 40]",""
"","468","[1, 3, 29, 41, 42, 43, 46]",""
"","515","[0, 1, 5, 23, 32, 42, 44]",""
"","520","[0, 5, 23, 33, 35, 46, 48]",""
"","524","[11, 14, 26, 28, 41, 43, 45]",""
"","527","[0, 2, 15, 16, 22, 35, 46]",""
"","652","[24, 27, 28, 34, 39, 45, 48]",""
"","698","[7, 9, 11, 13, 37, 39, 45]",""
"","779","[0, 2, 12, 39, 41, 46, 49]",""
"","788","[14, 21, 23, 24, 30, 42, 46]",""
"","797","[0, 6, 28, 33, 35, 46, 48]",""
"","817","[0, 3, 7, 22, 37, 39, 40]",""
"","836","[1, 19, 28, 31, 38, 44, 48]",""
"","866","[8, 12, 16, 18, 29, 34, 49]",""
"","880","[1, 3, 14, 31, 44, 45, 47]",""
"","884","[7, 11, 19, 38, 42, 43, 47]",""
"","940","[12, 13, 31, 35, 36, 41, 44]",""
"","965","[7, 11, 27, 37, 39, 45, 49]",""
"","972","[6, 9, 15, 24, 25, 40, 45]",""
"","973","[7, 8, 9, 11, 29, 37, 45]",""
"","977","[2, 7, 15, 22, 25, 33, 41]",""
"p8","104","[1, 12, 15, 27, 31, 34, 36, 48]","8"
"","111","[6, 12, 26, 29, 31, 32, 36, 48]",""
"","119","[16, 18, 23, 27, 29, 30, 40, 49]",""
"","158","[0, 2, 5, 19, 33, 35, 39, 46]",""
"","213","[1, 6, 8, 15, 18, 19, 21, 42]",""
"","293","[8, 21, 24, 33, 34, 40, 42, 44]",""
"","313","[9, 13, 20, 21, 24, 39, 41, 45]",""
"","333","[5, 14, 20, 24, 28, 31, 39, 46]",""
"","414","[1, 5, 7, 10, 21, 22, 30, 31]",""
"","458","[0, 2, 13, 18, 24, 36, 46, 47]",""
"","574","[0, 18, 27, 31, 34, 37, 39, 47]",""
"","579","[1, 16, 18, 20, 25, 29, 36, 46]",""
"","637","[5, 21, 26, 27, 28, 39, 42, 49]",""
"","705","[6, 15, 21, 27, 28, 34, 41, 46]",""
"","727","[4, 6, 8, 10, 18, 22, 35, 37]",""
"","949","[1, 10, 13, 19, 25, 26, 33, 39]",""
